year,hofID,name,category
1974,haych01h,Charles Hay,Builder
1988,hayesge01h,George Hayes,Referee/Linesman
1958,hayge01h,George Hay,Player
1968,hendyji01h,Jim Hendy,Builder
1962,hernri01h,Riley Hern,Player
1963,hewitbo01h,Bobby Hewitson,Referee/Linesman
1965,hewitfo01h,Foster Hewitt,Builder
1947,hewitwi01h,William Hewitt,Builder
1969,hextabr01h,Bryan Hextall,Player
1972,holmeha01h,Hap Holmes,Player
1962,hoopeto01h,Tom Hooper,Player
1965,hornere01h,Red Horner,Player
1977,hortoti01h,Tim Horton,Player
2006,hotchha01h,Harley Hotchkiss,Builder
1972,howego01h,Gordie Howe,Player
1979,howelha01h,Harry Howell,Player
2011,howema01h,Mark Howe,Player
1965,howesy01h,Syd Howe,Player
1983,hullbo01h,Bobby Hull,Player
2009,hullbr01h,Brett Hull,Player
1962,humefr01h,Fred Hume,Builder
1962,huttobo01h,Bowse Hutton,Player
1962,hylanha01h,Harry Hyland,Player
2003,ilitcmi01h,Mike Illitch,Builder
1984,imlacpu01h,Punch Imlach,Builder
1961,ionmi01h,Mickey Ion,Referee/Linesman
1958,irvindi01h,Dick Irvin,Player
1974,ivanto01h,Tommy Ivan,Builder
1971,jacksbu01h,Busher Jackson,Player
2010,jamesan01h,Angela James,Player
1992,johnsbo02h,Bob Johnson,Builder
1958,johnsch01h,Ching Johnson,Player
1952,johnsmo01h,Moose Johnson,Player
1970,johnsto01h,Tom Johnson,Player
1947,joliaau01h,Aurel Joliat,Player
1979,juckego01h,Gordon Juckes,Builder
1958,keatsdu01h,Duke Keats,Player
1969,kellyre01h,Red Kelly,Player
1966,kennete01h,Ted Kennedy,Player
1986,keonda01h,Dave Keon,Player
2005,kharlva01h,Valeri Kharlamov,Player
1960,kilpajo01h,John Kilpatrick,Builder
2003,kilrebr01h,Brian Kilrea,Builder
1993,knoxse01h,Seymour Knox,Builder
2001,kurrija01h,Jari Kurri,Player
1966,lachel01h,Elmer Lach,Player
1988,laflegu01h,Guy Lafleur,Player
2003,lafonpa01h,Pat LaFontaine,Player
1950,lalonne01h,Newsy Lalonde,Player
2009,lamorlo01h,Lou Lamoriello,Builder
2002,langwro01h,Rod Langway,Player
1987,laperja01h,Jacques Laperriere,Player
1993,lapoigu01h,Guy Lapointe,Player
1993,lapraed01h,Edgar Laprade,Player
2008,larioig01h,Igor Larionov,Player
1962,lavioja01h,Jack Laviolette,Player
1969,leadeal01h,Al Leader,Builder
1970,lebelro01h,Bob LeBel,Builder
2009,leetcbr01h,Brian Leetch,Player
1958,lehmahu01h,Hugh Lehman,Player
1984,lemaija01h,Jacques Lemaire,Player
1997,lemiema01h,Mario Lemieux,Player
1961,lesuepe01h,Percy LeSueur,Player
1989,lewishe01h,Herbie Lewis,Player
1966,lindste01h,Ted Lindsay,Player
1965,lockhth01h,Tommy Lockhart,Builder
1961,loicqpa01h,Paul Loicq,Builder
1980,lumleha01h,Harry Lumley,Player
2007,macinal01h,Al MacInnis,Player
1952,mackami01h,Mickey MacKay,Player
1981,mahovfr01h,Frank Mahovlich,Player
1950,malonjo01h,Joe Malone,Player
1960,manthsy01h,Sylvio Mantha,Player
1985,mariujo01h,John Mariucci,Builder
1965,marshja02h,Jack Marshall,Player
1992,mathefr01h,Frank Mathers,Builder
1962,maxwest01h,Steamer Maxwell,Player
1992,mcdonla01h,Lanny McDonald,Player
1945,mcgeefr01h,Frank McGee,Player
1962,mcgimbi01h,Billy McGimsie,Player
1963,mclaufr01h,Frederic McLaughlin,Builder
1958,mcnamge02h,George McNamara,Player
2007,messima01h,Mark Messier,Player
1983,mikitst01h,Stan Mikita,Player
1984,milfoja01h,Jake Milford,Builder
1973,molsoha01h,Hartland Molson,Builder
1974,mooredi01h,Dickie Moore,Player
1958,moranpa01h,Paddy Moran,Player
1945,morenho01h,Howie Morenz,Player
1999,morriia01h,Scotty Morrison,Builder
1965,mosiebi01h,Bill Mosienko,Player
2000,mullejo01h,Joe Mullen,Player
2004,murphla01h,Larry Murphy,Player
1998,murraat01h,Athol Murray,Builder
2005,neelyca01h,Cam Neely,Player
2002,neilsro01h,Roger Neilson,Builder
1947,nelsofr01h,Francis Nelson,Builder
2011,nieuwjo01h,Joe Nieuwendyk,Player
1947,nighbfr01h,Frank Nighbor,Player
1962,noblere01h,Reg Noble,Player
1969,norribr01h,Bruce Norris,Builder
1958,norrija02h,James Norris Sr.,Builder
1962,norrija03h,James Norris,Builder
1947,northwi01h,William Northey,Builder
1962,obrieja01h,Ambrose O'Brien,Builder
1988,oconnbu01h,Buddy O'Connor,Player
1967,oliveha01h,Harry Oliver,Player
1985,olmstbe01h,Bert Olmstead,Player
1994,oneilbr01h,Brian O'Neill,Builder
1979,orrbo01h,Bobby Orr,Player
1993,pagefr01h,Fred Page,Builder
1984,parenbe01h,Bernie Parent,Player
1988,parkbr01h,Brad Park,Player
2001,patricr01h,Craig Patrick,Builder
1950,patrifr01h,Frank Patrick,Builder
1947,patrile01h,Lester Patrick,Player
1980,patrily01h,Lynn Patrick,Player
1987,pavelma03h,Matt Pavelich,Referee/Linesman
1990,perregi01h,Gilbert Perreault,Player
1945,phillto01h,Tommy Phillips,Player
1958,pickaal01h,Allan Pickard,Builder
1975,pilotpi01h,Pierre Pilote,Player
1985,pilouru01h,Rudy Pilous,Builder
1962,pitredi01h,Didier Pitre,Player
1978,plantja01h,Jacques Plante,Player
1990,poilebu01h,Bud Poile,Builder
1978,pollosa01h,Sam Pollock,Builder
1991,potvide01h,Denis Potvin,Player
1966,prattba01h,Babe Pratt,Player
1963,primejo01h,Joe Primeau,Player
1978,pronoma01h,Marcel Pronovost,Player
1991,pulfobo01h,Bob Pulford,Player
1945,pulfoha01h,Harvey Pulford,Player
1976,quackbi01h,Bill Quackenbush,Player
1961,rankifr01h,Frank Rankin,Player
1985,ratelje01h,Jean Ratelle,Player
1958,raymodo01h,Donat Raymond,Builder
1973,raynech01h,Chuck Rayner,Player
1966,reardke01h,Ken Reardon,Player
1950,richage01h,George Richardson,Player
1979,richahe01h,Henri Richard,Player
1961,richama01h,Maurice Richard,Player
1971,robergo02h,Gord Roberts,Player
1947,roberjo02h,John Robertson,Builder
1947,robincl01h,Claude Robinson,Builder
1995,robinla01h,Larry Robinson,Player
2009,robitlu01h,Luc Robitaille,Player
1962,roddemi01h,Mike Rodden,Referee/Linesman
1949,rossar01h,Art Ross,Player
1976,rossph01h,Philip Ross,Builder
2006,roypa01h,Patrick Roy,Player
1965,russebl01h,Blair Russell,Player
1965,russeer01h,Ernie Russell,Player
1962,ruttaja01h,Jack Ruttan,Player
1995,sabetgu01h,Gunther Sabetzki,Builder
1996,salmibo01h,Borje Salming,Player
1997,sathegl01h,Glen Sather,Builder
2000,savarde01h,Denis Savard,Player
1986,savarse01h,Serge Savard,Player
1971,sawchte01h,Terry Sawchuk,Player
1965,scanlfr01h,Fred Scanlon,Player
2008,scapira01h,Ray Scapinello,Referee/Linesman
1961,schmimi01h,Milt Schmidt,Player
1962,schrisw01h,Sweeney Schriner,Player
2010,seamado01h,Doc Seaman,Builder
1963,seibeea01h,Earl Seibert,Player
1961,seibeol01h,Oliver Seibert,Player
1960,selkefr01h,Frank Selke,Builder
1947,shoreed01h,Eddie Shore,Player
1993,shuttst01h,Steve Shutt,Player
1964,siebeba01h,Babe Siebert,Player
1962,simpsjo01h,Joe Simpson,Player
1983,sindeha01h,Harry Sinden,Builder
1989,sittlda01h,Darryl Sittler,Player
1961,smeatco01h,Cooper Smeaton,Referee/Linesman
1962,smithal03h,Alf Smith,Player
1993,smithbi01h,Billy Smith,Player
1991,smithcl01h,Clint Smith,Player
1962,smithfr01h,Frank Smith,Builder
1972,smithho01h,Hooley Smith,Player
1973,smithto01h,Tommy Smith,Player
1958,smythco01h,Conn Smythe,Builder
1988,snideed01h,Edward Snider,Builder
1981,stanlal01h,Allan Stanley,Player
1962,stanlba01h,Barney Stanley,Player
1945,stanlfr01h,Frederick Stanley,Builder
1998,stastpe01h,Peter Stastny,Player
2007,stevesc01h,Scott Stevens,Player
1964,stewaja01h,Jack Stewart,Player
1952,stewane01h,Nels Stewart,Player
1967,storere01h,Red Storey,Referee/Linesman
1961,stuarbr02h,Bruce Stuart,Player
1945,stuarho01h,Hod Stuart,Player
1947,sutheja01h,James Sutherland,Builder
1974,tarasan01h,Anatoli Tarasov,Builder
1947,taylocy01h,Cyclone Taylor,Player
1959,thompti01h,Tiny Thompson,Player
1995,torrebi01h,Bill Torrey,Builder
1989,tretivl01h,Vladislav Tretiak,Player
1950,triheha01h,Harry Trihey,Player
1997,trottbr01h,Bryan Trottier,Player
1958,turnell01h,Lloyd Turner,Builder
1978,tuttwi01h,William Tutt,Builder
1973,udvarfr01h,Frank Udvari,Referee/Linesman
1982,ullmano01h,Norm Ullman,Player
1999,vanhean01h,Andy Van Hellemond,Referee/Linesman
1945,vezinge01h,Georges Vezina,Player
1974,vossca01h,Carl Voss,Builder
1961,waghofr01h,Fred Waghorne,Builder
1960,walkeja01h,Jack Walker,Player
1962,walshma01h,Marty Walsh,Player
1962,watsoha01h,Harry Watson,Player
1994,watsoha02h,Harry Watson,Player
1971,weilaco01h,Cooney Weiland,Player
1962,westwha01h,Harry Westwick,Player
1962,whitcfr01h,Fred Whitcroft,Player
1962,wilsoph01h,Phat Wilson,Player
1971,wirtzar01h,Arthur Wirtz,Builder
1976,wirtzwi01h,William Wirtz,Builder
1980,worslgu01h,Gump Worsley,Player
1969,wortero01h,Roy Worters,Player
2009,yzermst01h,Steve Yzerman,Player
1987,ziegljo01h,John Ziegler,Builder
